,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
79,3.000.000 TL,İstanbul,Bahçelievler,Bahçelievler,Satılık,Daire,3 + 1,110 m2,100 m2,4. Kat,30 Yaşında,Eşyalı Değil,1,Betonarme,KOZA,Doğalgaz
80,5.400.000 TL,İstanbul,Sarıyer,Ayazağa,Satılık,Daire,1 + 1,82 m2,60 m2,Ara Kat,7 Yaşında,Eşyalı Değil,1,Betonarme,Vadi İstanbul Teras,Doğalgaz
81,1.400.000 TL,İstanbul,Kağıthane,Yeşilce,Satılık,Daire,1 + 1,60 m2,55 m2,4. Kat,4 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
82,4.500.000 TL,İstanbul,Küçükçekece,Kartaltepe,Satılık,Daire,3 + 1,132 m2,90 m2,10. Kat,Sıfır Bina,Eşyalı,2,Betonarme,Babacan Port Royal,Doğalgaz
83,2.580.000 TL,İstanbul,Beylikdüzü,Marara,Satılık,Daire,3 + 1,160 m2,140 m2,2. Kat,8 Yaşında,Eşyalı Değil,2,Betonarme,DEMAŞEVLERİ,Doğalgaz
84,7.556.000 TL,İstanbul,Zeytinburnu,Maltepe,Satılık,Daire,2 + 1,125 m2,81 m2,2. Kat,1 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Elektrik
85,5.250.000 TL,İstanbul,Tuzla,İstasyon,Satılık,Daire,4 + 2,220 m2,175 m2,Çatı Katı,3 Yaşında,Eşyalı Değil,3,Betonarme,KAPLANER PARK,Doğalgaz
86,21.250.000 TL,İstanbul,Beşiktaş,Etiler,Satılık,Daire,5 + 1,284 m2,256 m2,Çatı Katı,11 Yaşında,Eşyalı Değil,3,Betonarme,BADUR,Doğalgaz
87,3.750.000 TL,İstanbul,Ataşehir,Fetih,Satılık,Daire,3 + 1,145 m2,130 m2,2. Kat,20 Yaşında,Eşyalı Değil,1,Betonarme,Çamlıca Tahralı Evleri,Doğalgaz
88,2.000.000 TL,İstanbul,Esenyurt,AşıkVeysel,Satılık,Daire,2 + 1,144 m2,108 m2,Bahçe Katı,10 Yaşında,Eşyalı Değil,2,Betonarme,PARKCİTY,Doğalgaz
89,42.000.000 TL,İstanbul,Beşiktaş,Levazı,Satılık,Residence,5 + 1,330 m2,300 m2,Bahçe Katı,5 Yaşında,Eşyalı,5,Betonarme,seba flora,Doğalgaz
90,2.500.000 TL,İstanbul,Beylikdüzü,AdnanKahveci,Satılık,Daire,3 + 1,165 m2,150 m2,12. Kat,4 Yaşında,Eşyalı Değil,3,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
91,4.650.000 TL,İstanbul,Üraniye,Tantavi,Satılık,Daire,3 + 1,135 m2,115 m2,Ara Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,EXENİN KARSİSİ,Doğalgaz
92,4.400.000 TL,İstanbul,Kartal,Kordonboyu,Satılık,Daire,2 + 1,180 m2,120 m2,Ara Kat,4 Yaşında,Eşyalı Değil,2,Betonarme,İstmarina,Doğalgaz
93,3.750.000 TL,İstanbul,Sarıyer,Ayazağa,Satılık,Daire,3 + 2,255 m2,245 m2,6. Kat,22 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
94,6.750.000 TL,İstanbul,Maltepe,Yalı,Satılık,Daire,5 + 1,190 m2,175 m2,6. Kat,20 Yaşında,Eşyalı Değil,2,Betonarme,dragos drive,Doğalgaz
95,1.700.000 TL,İstanbul,Kağıthane,Haidiye,Satılık,Daire,1 + 1,55 m2,40 m2,7. Kat,5 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
96,5.230.000 TL,İstanbul,Şişli,Cuhuriyet,Satılık,Residence,2 + 1,100 m2,80 m2,14. Kat,10 Yaşında,Eşyalı Değil,1,Betonarme,Anthill Residence,Doğalgaz
97,2.085.000 TL,İstanbul,Esenyurt,BarbarosHayrettinPaşa,Satılık,Daire,1 + 1,173 m2,160 m2,Ara Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,GÜMÜŞPANORAMA,Doğalgaz
98,1.690.000 TL,İstanbul,Pendik,Kurtköy,Satılık,Daire,3 + 1,156 m2,120 m2,4. Kat,11 Yaşında,Eşyalı Değil,2,Betonarme,Recepağa Konakları 1,Doğalgaz
99,2.650.000 TL,İstanbul,Kadıköy,19Mayıs,Satılık,Daire,2 + 1,105 m2,86 m2,Yüksek Giriş,32 Yaşında,Eşyalı Değil,1,Betonarme,Usta Sitesi,Doğalgaz
100,2.500.000 TL,İstanbul,Silivri,Selipaşa,Satılık,Daire,3 + 1,145 m2,120 m2,Yüksek Giriş,14 Yaşında,Eşyalı,2,Betonarme,emlak konutları,Doğalgaz
101,1.399.000 TL,İstanbul,Başakşehir,Bahçeşehir2.Kısı,Satılık,Daire,2 + 1,175 m2,140 m2,8. Kat,20 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
102,1.950.000 TL,İstanbul,Kağıthane,YahyaKeal,Satılık,Daire,2 + 1,85 m2,75 m2,3. Kat,2 Yaşında,Eşyalı Değil,1,Betonarme,NEF08,Doğalgaz
103,7.500.000 TL,İstanbul,Kadıköy,Bostancı,Satılık,Daire,3 + 1,130 m2,105 m2,17. Kat,3 Yaşında,Eşyalı Değil,2,Betonarme,Çınar gold,Doğalgaz
104,845.000 TL,İstanbul,Beylikdüzü,Cuhuriyet,Satılık,Daire,3 + 1,130 m2,120 m2,2. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
105,6.800.000 TL,İstanbul,Bakırköy,Ataköy7-8-9-10.Kısı,Satılık,Daire,3 + 1,135 m2,120 m2,13. Kat,26 Yaşında,Eşyalı Değil,1,Betonarme,Ataköy 7 - 8 Kısım Turkuaz Sitesi,Doğalgaz
106,23.000.000 TL,İstanbul,Sarıyer,İstinye,Satılık,Daire,4 + 1,300 m2,270 m2,Bahçe Katı,20 Yaşında,Eşyalı Değil,3,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
107,2.500.000 TL,İstanbul,Çekeköy,Taşdelen,Satılık,Daire,3 + 1,155 m2,135 m2,Ara Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
108,5.425.000 TL,İstanbul,Başakşehir,Başakşehir,Satılık,Daire,3 + 1,195 m2,142 m2,4. Kat,Sıfır Bina,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
109,3.850.000 TL,İstanbul,Sarıyer,Maslak,Satılık,Daire,1 + 1,85 m2,60 m2,14. Kat,5 Yaşında,Eşyalı Değil,1,Çelik,Mashattan,Doğalgaz
110,12.000.000 TL,İstanbul,Bakırköy,Şenlikköy,Satılık,Daire,4 + 1,190 m2,180 m2,Ara Kat,1 Yaşında,Eşyalı Değil,2,Betonarme,Erguvan konakları,Doğalgaz
111,2.700.000 TL,İstanbul,Gaziosanpaşa,Karayolları,Satılık,Daire,1 + 1,75 m2,65 m2,15. Kat,8 Yaşında,Eşyalı Değil,1,Betonarme,Avrupa Konutları TEM 2 Sitesi,Doğalgaz
112,1.500.000 TL,İstanbul,Eyüpsultan,İslabey,Satılık,Daire,2 + 1,100 m2,85 m2,3. Kat,3 Yaşında,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
113,5.250.000 TL,İstanbul,Başakşehir,Bahçeşehir2.Kısı,Satılık,Daire,4 + 1,280 m2,230 m2,14. Kat,10 Yaşında,Eşyalı Değil,3,Betonarme,Terrace Garden Rezidans,Doğalgaz
114,1.900.000 TL,İstanbul,Eyüpsultan,Çırçır,Satılık,Daire,3 + 1,90 m2,80 m2,Kot 2,3 Yaşında,Eşyalı,1,Betonarme,YEŞİLKENT SİTESİ,Doğalgaz
115,1.100.000 TL,İstanbul,Silivri,MiarSinan,Satılık,Daire,2 + 1,110 m2,98 m2,Ara Kat,4 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
116,8.520.000 TL,İstanbul,Beşiktaş,Etiler,Satılık,Daire,2 + 1,100 m2,78 m2,2. Kat,60 Yaşında,Eşyalı Değil,1,Betonarme,Uçaksavar Sitesi,Doğalgaz
117,8.500.000 TL,İstanbul,Şişli,19Mayıs,Satılık,Residence,3 + 1,170 m2,150 m2,2. Kat,10 Yaşında,Eşyalı Değil,2,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
118,455.000 TL,İstanbul,Beylikdüzü,Yakuplu,Satılık,Daire,2 + 1,110 m2,95 m2,2. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Evet (Site Adı Belirtilmemiş),Doğalgaz
119,2.880.000 TL,İstanbul,Maltepe,Zürütevler,Satılık,Daire,2 + 1,91 m2,70 m2,7. Kat,Sıfır Bina,Eşyalı Değil,1,Betonarme,Teras Park,Doğalgaz
120,4.400.000 TL,İstanbul,Sarıyer,Maslak,Satılık,Daire,4 + 1,240 m2,180 m2,Ara Kat,1 Yaşında,Eşyalı Değil,2,Çelik,İstova,Doğalgaz
